ticker,nome,exchange,tipo,subtipo,cik,sic,sic_description,fonte_tipo
A,"Agilent Technologies, Inc. Common Stock",NYSE,Acao,,0001090872,3826,Laboratory Analytical Instruments,default_rule
AA,Alcoa Corporation Common Stock,NYSE,Acao,,0001675149,3334,Primary Production of  Aluminum,default_rule
AAA,Alternative Access First Priority CLO Bond ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
AAAA,EA Series Trust Amplius Aggressive Asset Allocation ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAAU,Goldman Sachs Physical Gold ETF Shares,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,Acao,,0002034334,6770,Blank Checks,default_rule
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,Acao,,0002034334,6770,Blank Checks,default_rule
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,Acao,,0002034334,6770,Blank Checks,default_rule
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,ADR,,,,,nasdaqtrader_securityname_adr
AACI,Armada Acquisition Corp. II - Class A Ordinary Shares,NASDAQ,Acao,,0002044009,6770,Blank Checks,default_rule
AACIU,Armada Acquisition Corp. II - Units,NASDAQ,Acao,,0002044009,6770,Blank Checks,default_rule
AACIW,Armada Acquisition Corp. II - Warrant,NASDAQ,Acao,,0002044009,6770,Blank Checks,default_rule
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,Acao,,0000006201,4512,"Air Transportation, Scheduled",default_rule
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,NYSE,Acao,,0002012964,6770,Blank Checks,default_rule
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",NYSE,Acao,,,,,default_rule
AAM.W,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",NYSE,Acao,,,,,default_rule
AAME,Atlantic American Corporation - Common Stock,NASDAQ,Acao,,0000008177,6311,Life Insurance,default_rule
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,Acao,,0001748824,6282,Investment Advice,default_rule
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,Acao,,0001158114,3674,Semiconductors & Related Devices,default_rule
AAON,"AAON, Inc. - Common Stock",NASDAQ,Acao,,0000824142,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,default_rule
AAP,Advance Auto Parts Inc.,NYSE,Acao,,0001158449,5531,Retail-Auto & Home Supply Stores,default_rule
AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAPD,Direxion Daily AAPL Bear 1X Shares,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,ADR,,,,,nasdaqtrader_securityname_adr
AAPL,Apple Inc. - Common Stock,NASDAQ,Acao,,0000320193,3571,Electronic Computers,default_rule
AAPR,SHL Telemedicine Ltd Innovator Equity Defined Protection ETF - 2 Yr to April 2026,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAPU,Direxion Daily AAPL Bull 2X Shares,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAPW,Roundhill ETF Trust Roundhill AAPL WeeklyPay ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAPX,ETF Opportunities Trust T-Rex 2X Long Apple Daily Target ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,Acao,,0001774857,2834,Pharmaceutical Preparations,default_rule
AAT,"American Assets Trust, Inc. Common Stock",NYSE,REIT,,0001500217,6798,Real Estate Investment Trusts,sec_sic_6798
AAUC,Allied Gold Corporation Common Shares,NYSE,Acao,,0001993344,,,default_rule
AAUM,Tema ETF Trust Tema Alternative Asset Managers ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAUS,Alpha Architect US Equity ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AB,AllianceBernstein Holding L.P.  Units,NYSE,Acao,,0000825313,6282,Investment Advice,default_rule
ABAT,American Battery Technology Company - Common Stock,NASDAQ,Acao,,0001576873,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),default_rule
ABBV,AbbVie Inc. Common Stock,NYSE,Acao,,0001551152,2834,Pharmaceutical Preparations,default_rule
ABCB,Ameris Bancorp Common Stock,NYSE,Acao,,0000351569,6022,State Commercial Banks,default_rule
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,Acao,,0001703057,2834,Pharmaceutical Preparations,default_rule
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,Acao,,0000318306,2834,Pharmaceutical Preparations,default_rule
ABEQ,Absolute Select Value ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,ADR,,,,,nasdaqtrader_securityname_adr
ABFL,Abacus FCF Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABG,Asbury Automotive Group Inc Common Stock,NYSE,Acao,,0001144980,5500,Retail-Auto Dealers & Gasoline Stations,default_rule
ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ABIG,Argent Large Cap ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ABL,"Abacus Global Management, Inc. - Class A Common Stock",NASDAQ,Acao,,0001814287,6282,Investment Advice,default_rule
ABLD,Abacus FCF Real Assets Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABLG,Abacus FCF International Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABLLL,"Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028",NASDAQ,Acao,,0001814287,6282,Investment Advice,default_rule
ABLS,Abacus FCF ETF Trust Abacus FCF Small Cap Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,Acao,,0001957489,5960,Retail-Nonstore Retailers,default_rule
ABLVW,Able View Global Inc. - Warrant,NASDAQ,Acao,,0001957489,5960,Retail-Nonstore Retailers,default_rule
ABM,ABM Industries Incorporated Common Stock,NYSE,Acao,,0000771497,7340,Services-To Dwellings & Other Buildings,default_rule
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,Acao,,0001559720,7340,Services-To Dwellings & Other Buildings,default_rule
ABNY,Tidal Trust II YieldMax ABNB Option Income Strategy ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,Acao,,0001576885,2836,"Biological Products, (No Diagnostic Substances)",default_rule
ABOT,Abacus FCF Innovation Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABP,"Abpro Holdings, Inc - Common Stock",NASDAQ,Acao,,0001893219,2836,"Biological Products, (No Diagnostic Substances)",default_rule
ABPWW,"Abpro Holdings, Inc - Warrant",NASDAQ,Acao,,0001893219,2836,"Biological Products, (No Diagnostic Substances)",default_rule
ABR,Arbor Realty Trust Common Stock,NYSE,REIT,,0001253986,6798,Real Estate Investment Trusts,sec_sic_6798
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",NYSE,Acao,,,,,default_rule
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE,Acao,,,,,default_rule
ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",NYSE,Acao,,,,,default_rule
ABSI,Absci Corporation - Common Stock,NASDAQ,Acao,,0001672688,8731,Services-Commercial Physical & Biological Research,default_rule
ABT,Abbott Laboratories Common Stock,NYSE,Acao,,0000001800,2834,Pharmaceutical Preparations,default_rule
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,Acao,,0001755953,6199,Finance Services,default_rule
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,Acao,,0001864055,6199,Finance Services,default_rule
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,Acao,,0001447028,2834,Pharmaceutical Preparations,default_rule
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,Acao,,0001173313,2834,Pharmaceutical Preparations,default_rule
ABVE,Above Food Ingredients Inc. - Common Stock,NASDAQ,Acao,,0001979484,2000,Food and Kindred Products,default_rule
ABVEW,Above Food Ingredients Inc. - Warrant,NASDAQ,Acao,,0001979484,2000,Food and Kindred Products,default_rule
ABVX,Abivax SA - American Depositary Shares,NASDAQ,ADR,,,,,nasdaqtrader_securityname_adr
ABXB,Abacus Flexible Bond Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ACA,"Arcosa, Inc. Common Stock",NYSE,Acao,,0001739445,3440,Fabricated Structural Metal Products,default_rule
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,Acao,,0001070494,2834,Pharmaceutical Preparations,default_rule
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,Acao,,0001683541,2833,Medicinal Chemicals & Botanical Products,default_rule
ACCO,Acco Brands Corporation Common Stock,NYSE,Acao,,0000712034,2780,"Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work",default_rule
ACCS,ACCESS Newswire Inc. Common Stock,NYSE AMERICAN,Acao,,0000843006,8742,Services-Management Consulting Services,default_rule
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,Acao,,0001881487,1389,"Oil & Gas Field Services, NEC",default_rule
ACEI,Innovator ETFs Trust Innovator Equity Autocallable Income Strategy ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACEL,"Accel Entertainment, Inc.",NYSE,Acao,,0001698991,7900,Services-Amusement & Recreation Services,default_rule
ACES,ALPS Clean Energy ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,Acao,,0001720580,2834,Pharmaceutical Preparations,default_rule
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,Acao,,0000880984,8711,Services-Engineering Services,default_rule
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,Acao,,0000947484,6331,"Fire, Marine & Casualty Insurance",default_rule
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ,Acao,,0000947484,6331,"Fire, Marine & Casualty Insurance",default_rule
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ,Acao,,0000947484,6331,"Fire, Marine & Casualty Insurance",default_rule
ACGR,American Century Large Cap Growth ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,Acao,,0001520697,8093,"Services-Specialty Outpatient Facilities, NEC",default_rule
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,Acao,,0001824502,3721,Aircraft,default_rule
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",NYSE,Acao,,,,,default_rule
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,Acao,,0000949858,2835,In Vitro & In Vivo Diagnostic Substances,default_rule
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,Acao,,0001646972,5411,Retail-Grocery Stores,default_rule
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,Acao,,0001401521,6331,"Fire, Marine & Casualty Insurance",default_rule
ACII,Innovator ETFs Trust Innovator Index Autocallable Income Strategy ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACIO,Aptus Collared Investment Opportunity ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ACIU,AC Immune SA - Common Stock,NASDAQ,Acao,,0001651625,2834,Pharmaceutical Preparations,default_rule
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,Acao,,0000935036,7372,Services-Prepackaged Software,default_rule
ACKY,Tidal Trust III VistaShares Target 15 ACKtivist Distribution ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACLC,American Century Large Cap Equity ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACLO,TCW AAA CLO ETF,NYSE,ETF,,,,,nasdaqtrader_etf_flag
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,Acao,,0001113232,3559,"Special Industry Machinery, NEC",default_rule
ACLX,"Arcellx, Inc. - Common Stock",NASDAQ,Acao,,0001786205,2836,"Biological Products, (No Diagnostic Substances)",default_rule
ACM,AECOM Common Stock,NYSE,Acao,,0000868857,8711,Services-Engineering Services,default_rule
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,Acao,,0001680062,3559,"Special Industry Machinery, NEC",default_rule
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,Acao,,0001467373,7389,"Services-Business Services, NEC",default_rule
ACNB,ACNB Corporation - Common Stock,NASDAQ,Acao,,0000715579,6022,State Commercial Banks,default_rule
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,Acao,,0000095953,2800,Chemicals & Allied Products,default_rule
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,Acao,,0001655923,2836,"Biological Products, (No Diagnostic Substances)",default_rule
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,Acao,,0001635077,8071,Services-Medical Laboratories,default_rule
ACONW,"Aclarion, Inc. - Warrant",NASDAQ,Acao,,0001635077,8071,Services-Medical Laboratories,default_rule
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,Acao,,0001503290,,,default_rule
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE,Acao,,,,,default_rule
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,REIT,,0001332551,6798,Real Estate Investment Trusts,sec_sic_6798
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,NYSE,Acao,,,,,default_rule
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE,Acao,,,,,default_rule
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,REIT,,0001529377,6798,Real Estate Investment Trusts,sec_sic_6798
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,Acao,,0001557746,2834,Pharmaceutical Preparations,default_rule
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,Acao,,0001781174,2834,Pharmaceutical Preparations,default_rule
ACSI,American Customer Satisfaction ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,Acao,,0001823529,6411,"Insurance Agents, Brokers & Service",default_rule
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,Acao,,0000934549,6794,Patent Owners & Lessors,default_rule
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,Acao,,0001652935,2834,Pharmaceutical Preparations,default_rule
ACTV,LeaderShares Activist Leaders ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACU,Acme United Corporation. Common Stock,NYSE AMERICAN,Acao,,0000002098,3420,"Cutlery, Handtools & General Hardware",default_rule
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,Acao,,0001636289,,,default_rule
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,Acao,,0001637873,7389,"Services-Business Services, NEC",default_rule
ACVF,American Conservative Values ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACVT,The RBB Fund Trust Advent Convertible Bond ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ACWI,iShares MSCI ACWI ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ACWV,iShares MSCI Global Min Vol Factor ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ACWX,iShares MSCI ACWI ex U.S. ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,Acao,,0001736243,2834,Pharmaceutical Preparations,default_rule
AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE,Acao,,0000821130,4812,Radiotelephone Communications,default_rule
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,Acao,,0001818838,2834,Pharmaceutical Preparations,default_rule
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,REIT,,0001273685,6798,Real Estate Investment Trusts,sec_sic_6798
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,REIT,,0001273685,6798,Real Estate Investment Trusts,sec_sic_6798
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,REIT,,0001273685,6798,Real Estate Investment Trusts,sec_sic_6798
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,REIT,,0001273685,6798,Real Estate Investment Trusts,sec_sic_6798
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,REIT,,0001273685,6798,Real Estate Investment Trusts,sec_sic_6798
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,REIT,,0001273685,6798,Real Estate Investment Trusts,sec_sic_6798
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,REIT,,0001273685,6798,Real Estate Investment Trusts,sec_sic_6798
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,REIT,,0001273685,6798,Real Estate Investment Trusts,sec_sic_6798
ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,NASDAQ,ADR,,,,,nasdaqtrader_securityname_adr
ADBE,Adobe Inc. - Common Stock,NASDAQ,Acao,,0000796343,7372,Services-Prepackaged Software,default_rule
ADBG,Leverage Shares 2X Long ADBE Daily ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ADC,Agree Realty Corporation Common Stock,NYSE,REIT,,0000917251,6798,Real Estate Investment Trusts,sec_sic_6798
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",NYSE,Acao,,,,,default_rule
ADCT,ADC Therapeutics SA Common Shares,NYSE,Acao,,0001771910,2834,Pharmaceutical Preparations,default_rule
ADEA,Adeia Inc.  - Common Stock,NASDAQ,Acao,,0001803696,4841,Cable & Other Pay Television Services,default_rule
ADFI,Anfield Dynamic Fixed Income ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,Acao,,0002006986,3841,Surgical & Medical Instruments & Apparatus,default_rule
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,Acao,,0000006281,3674,Semiconductors & Related Devices,default_rule
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,Acao,,0001513525,2834,Pharmaceutical Preparations,default_rule
ADIV,SmartETFs Asia Pacific Dividend Builder ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,Acao,,0000007084,2070,Fats & Oils,default_rule
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,Acao,,0001368514,2836,"Biological Products, (No Diagnostic Substances)",default_rule
ADME,Aptus Drawdown Managed Equity ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",NASDAQ,Acao,,0001744494,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",default_rule
ADNT,Adient plc Ordinary Shares,NYSE,Acao,,0001670541,3714,Motor Vehicle Parts & Accessories,default_rule
ADNWW,"Advent Technologies Holdings, Inc. - Warrant",NASDAQ,Acao,,0001744494,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",default_rule
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,Acao,,0000008670,7374,Services-Computer Processing & Data Preparation,default_rule
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,Acao,,0001478320,2836,"Biological Products, (No Diagnostic Substances)",default_rule
ADPV,Series Portfolios Trust Adaptiv Select ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,Acao,,0001879248,3790,Miscellaneous Transportation Equipment,default_rule
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ,Acao,,0001879248,3790,Miscellaneous Transportation Equipment,default_rule
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,Acao,,0000769397,7372,Services-Prepackaged Software,default_rule
ADT,ADT Inc. Common Stock,NYSE,Acao,,0001703056,7381,"Services-Detective, Guard & Armored Car Services",default_rule
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,Acao,,0000926282,3661,Telephone & Telegraph Apparatus,default_rule
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,Acao,,0001726711,2834,Pharmaceutical Preparations,default_rule
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,Acao,,0001863934,2800,Chemicals & Allied Products,default_rule
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,Acao,,0001468328,8082,Services-Home Health Care Services,default_rule
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,Acao,,0001776661,7389,"Services-Business Services, NEC",default_rule
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,Acao,,0001941029,8071,Services-Medical Laboratories,default_rule
ADVE,Matthews International Funds Matthews Asia Dividend Active ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",NASDAQ,Acao,,0001501756,2836,"Biological Products, (No Diagnostic Substances)",default_rule
ADVWW,Advantage Solutions Inc.  - Warrant,NASDAQ,Acao,,0001776661,7389,"Services-Business Services, NEC",default_rule
ADX,Adams Diversified Equity Fund Inc.,NYSE,Acao,,0000002230,,,default_rule
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,ADR,,,,,nasdaqtrader_securityname_adr
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,Acao,,0002048519,3531,Construction Machinery & Equip,default_rule
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,Acao,,0001519469,1000,Metal Mining,default_rule
AEE,Ameren Corporation Common Stock,NYSE,Acao,,0001002910,4931,Electric & Other Services Combined,default_rule
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",NYSE AMERICAN,Acao,,0000846676,,,default_rule
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,Acao,,0000769218,6311,Life Insurance,default_rule
AEG,Aegon Ltd. New York Registry Shares,NYSE,Acao,,0000769218,6311,Life Insurance,default_rule
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,Acao,,0001470683,4899,"Communications Services, NEC",default_rule
AEHR,Aehr Test Systems - Common Stock,NASDAQ,Acao,,0001040470,3825,Instruments For Meas & Testing of  Electricity & Elec Signals,default_rule
AEI,Alset Inc. - Common Stock,NASDAQ,Acao,,0001750106,6500,Real Estate,default_rule
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,Acao,,0000927003,3679,"Electronic Components, NEC",default_rule
AEM,Agnico Eagle Mines Limited Common Stock,NYSE,Acao,,0000002809,1040,Gold and Silver Ores,default_rule
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,Acao,,0000882291,3841,Surgical & Medical Instruments & Apparatus,default_rule
AEMS,Two Roads Shared Trust Anfield Enhanced Market ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,Acao,,0001823584,5099,"Wholesale-Durable Goods, NEC",default_rule
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ,Acao,,0001823584,5099,"Wholesale-Durable Goods, NEC",default_rule
AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE,Acao,,0000919012,5651,Retail-Family Clothing Stores,default_rule
AEON,"AEON Biopharma, Inc. Class A Common Stock",NYSE AMERICAN,Acao,,0001837607,2834,Pharmaceutical Preparations,default_rule
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,Acao,,0000004904,4911,Electric Services,default_rule
AER,AerCap Holdings N.V. Ordinary Shares,NYSE,Acao,,0001378789,7359,"Services-Equipment Rental & Leasing, NEC",default_rule
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,Acao,,0001853044,8742,Services-Management Consulting Services,default_rule
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ,Acao,,0001853044,8742,Services-Management Consulting Services,default_rule
AES,The AES Corporation Common Stock,NYSE,Acao,,0000874761,4991,Cogeneration Services & Small Power Producers,default_rule
AESI,Atlas Energy Solutions Inc. Common Stock,NYSE,Acao,,0001984060,1311,Crude Petroleum & Natural Gas,default_rule
AESR,Anfield U.S. Equity Sector Rotation ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,Acao,,0001789029,3714,Motor Vehicle Parts & Accessories,default_rule
AEVAW,"Aeva Technologies, Inc. - Redeemable Warrants",NASDAQ,Acao,,0001789029,3714,Motor Vehicle Parts & Accessories,default_rule
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,NYSE,Acao,,0002079173,6770,Blank Checks,default_rule
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,Acao,,0001362190,7372,Services-Prepackaged Software,default_rule
AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,Acao,,0001162027,,,default_rule
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,Acao,,0001823406,6036,"Savings Institutions, Not Federally Chartered",default_rule
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,Acao,,0001822523,6500,Real Estate,default_rule
AFG,"American Financial Group, Inc. Common Stock",NYSE,Acao,,0001042046,6331,"Fire, Marine & Casualty Insurance",default_rule
